file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.File,java.lang.String,java.lang.String]",false,70,3,4,3,1,1,2,3,1,0,3,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,52,9,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"readToByteBuffer/2[java.io.InputStream,int]",false,353,1,3,2,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,mimeBoundary/0,false,394,1,3,1,2,2,4,8,1,3,0,4,0,0,1,0,0,0,0,1,3,0,1,0,0,0,15,8,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.io.File,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,88,4,2,1,1,1,2,3,1,0,4,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,getCharsetFromContentType/1[java.lang.String],false,367,2,3,2,1,3,6,10,3,2,1,6,1,1,0,1,0,0,2,1,3,0,1,0,0,0,31,8,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.nio.file.Path,java.lang.String,java.lang.String]",false,103,4,6,4,2,1,2,3,1,0,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,DataUtil/0,true,57,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"detectCharset/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,238,14,21,3,18,24,32,55,1,13,4,32,4,2,1,10,1,1,10,5,27,1,5,0,0,0,65,8,0,false
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"maybeSkipBom/2[java.io.Reader,org.jsoup.helper.DataUtil.CharsetDoc]",false,338,2,4,3,1,2,2,6,0,1,2,2,0,0,0,1,0,0,0,2,1,0,1,0,0,0,10,8,0,false
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.18.1\jsoup-jsoup-1.18.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.InputStream,java.lang.String,java.lang.String]",false,176,4,3,1,2,1,2,3,1,0,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,37,9,0,true
