version,DSC,NOH,ANA,DAM,DCC,CAM,MOA,MFA,NOP,CIS,NOM
1.13.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.14.1,1.0165289256198347,1.0,0.9938398357289527,0.9897195171871791,1.0326737229636447,0.9977593216129355,1.0151835764932993,0.992191479492674,1.030065536112425,1.032140321403214,1.0311248634874408
1.15.1,1.0330578512396693,1.0,0.9998028747433264,0.9978871810134817,1.0402264150943394,0.9871128339818483,1.0785022831050228,1.0012869057245968,1.032354570637119,1.0322952029520296,1.0422089552238807
1.16.1,1.0454545454545454,1.0,1.0016962771181144,0.9857542181435374,1.0484003281378178,0.9781043994286804,1.0962874727020053,1.0025624219741722,1.071781283873299,1.0659393550457246,1.0707332900713822
1.17.1,1.078512396694215,1.0,1.0052632821166418,0.9283172443013438,1.0472782476686187,0.9438858155655747,1.1896989100579087,1.0099804237140118,1.1378142876853357,1.1096784531063701,1.1152856407617087
1.18.1,1.0950413223140496,1.0,0.9882143272248266,0.9466109216055197,1.0698469206123176,0.9439627852286495,1.2301197553200656,0.9802473158515618,1.1522604923430722,1.135612337255448,1.1312869614193184
1.19.1,1.115702479338843,1.5,0.9846376150277587,0.8900826440525851,1.0976939203354297,0.9367529853291637,1.2646372399797057,0.9781920593204803,1.1557504873294346,1.1454512322901007,1.1468214483139856
1.20.1,1.1363636363636365,1.5,0.9829979466119096,0.8289372759014986,1.1283018867924528,0.9317222807226715,1.2054794520547945,0.9881281352203204,1.165207756232687,1.1733333333333333,1.178507462686567
1.21.1,1.177685950413223,1.5,1.0095320436615152,0.8573719271156552,1.1484276729559748,0.9280795488369117,1.2097092045181448,1.0403223220404345,1.1596053846527676,1.1666299820892947,1.179785284105787
1.22.1,1.1983471074380165,2.0,1.0024074205197195,0.8693731274169672,1.1465191932335719,0.9227812109386239,1.2193355377105968,1.029555054264557,1.1557932944884897,1.1690970013148407,1.1883170355120947
