version,DSC,NOH,ANA,DAM,DCC,CAM,MOA,MFA,NOP,CIS,NOM
1.13.1,242.0,2.0,2.012396694214876,0.7518759018759019,4.818181818181818,0.8534495669456067,0.9049586776859504,0.24048821548821545,2.9834710743801653,3.3595041322314048,6.090909090909091
1.14.1,246.0,2.0,2.0,0.7441462545892925,4.975609756097561,0.8515372609465021,0.9186991869918699,0.2386103583258055,3.073170731707317,3.467479674796748,6.280487804878049
1.15.1,250.0,2.0,2.012,0.750287324194913,5.012,0.8424510206882591,0.976,0.24079770114942528,3.08,3.468,6.348
1.16.1,253.0,2.0,2.015810276679842,0.7411648417946467,5.051383399209486,0.83476277612,0.9920948616600791,0.24110444777611192,3.197628458498024,3.58102766798419,6.521739130434782
1.17.1,261.0,2.0,2.0229885057471266,0.6979793652860248,5.045977011494253,0.8055589405405406,1.0766283524904214,0.2428883897770144,3.3946360153256707,3.7279693486590038,6.793103448275862
1.18.1,265.0,2.0,1.9886792452830189,0.7117339404077289,5.154716981132076,0.8056246302661597,1.1132075471698113,0.23573792772625518,3.4377358490566037,3.8150943396226413,6.890566037735849
1.19.1,270.0,3.0,1.9814814814814814,0.6692316907411248,5.288888888888889,0.7994714296641791,1.1444444444444444,0.2352436627507249,3.448148148148148,3.848148148148148,6.985185185185185
1.20.1,275.0,3.0,1.9781818181818183,0.6232579619169926,5.4363636363636365,0.795177976996337,1.0909090909090908,0.2376331719128329,3.4763636363636365,3.941818181818182,7.178181818181818
1.21.1,285.0,3.0,2.031578947368421,0.6446372909431634,5.533333333333333,0.7920690890459363,1.0947368421052632,0.2501852587600607,3.4596491228070176,3.9192982456140353,7.185964912280702
1.22.1,290.0,4.0,2.0172413793103448,0.6536607042433056,5.524137931034483,0.7875472248611111,1.103448275862069,0.24759585774695617,3.4482758620689653,3.9275862068965517,7.2379310344827585
