file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.io.File,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,85,4,2,1,1,1,2,3,1,0,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.File,java.lang.String,java.lang.String]",false,67,3,4,3,1,1,2,3,1,0,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,52,9,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,detectCharsetFromBom/1[org.jsoup.internal.ControllableInputStream],false,386,3,4,1,3,16,3,17,4,1,1,3,0,0,0,15,0,0,3,35,1,0,1,0,0,0,18,10,0,false
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"detectCharset/4[org.jsoup.internal.ControllableInputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,231,13,25,3,22,21,27,60,1,10,4,27,3,2,1,8,1,0,10,2,23,0,5,0,0,0,61,8,0,false
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,validateCharset/1[java.lang.String],false,361,1,2,2,0,6,5,12,4,0,1,5,0,0,0,2,1,0,2,1,2,0,2,0,0,0,8,10,0,false
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,openStream/1[java.nio.file.Path],false,149,2,4,2,2,4,9,13,1,4,1,9,0,0,0,2,0,1,2,4,5,0,2,0,0,0,31,10,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/3[org.jsoup.helper.DataUtil.CharsetDoc,java.lang.String,org.jsoup.parser.Parser]",false,303,5,6,1,5,4,7,20,2,4,3,7,0,0,0,1,2,0,0,0,4,0,2,0,0,0,22,8,0,false
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,DataUtil/0,true,54,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.nio.file.Path,java.lang.String,java.lang.String]",false,100,4,6,4,2,1,2,3,1,0,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,true
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.19.1\jsoup-jsoup-1.19.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.nio.file.Path,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,118,4,5,3,2,1,2,3,1,0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0,true
